Sprint_ID,Project_ID,Sprint_Number,Planned_Story_Points,Completed_Story_Points,Completion_Rate_Pct,Velocity,Bugs_Raised,Bugs_Resolved,Open_Defects_Accumulated
SPT-0001,PRJ-1002,Sprint 1,51,54,105.9,44.5,1,1,0
SPT-0002,PRJ-1004,Sprint 1,59,51,86.4,18.0,4,1,3
SPT-0003,PRJ-1006,Sprint 1,62,56,90.3,12.8,9,7,2
SPT-0004,PRJ-1007,Sprint 1,42,41,97.6,39.3,3,3,0
SPT-0005,PRJ-1008,Sprint 1,42,34,81.0,21.3,7,5,2
SPT-0006,PRJ-1009,Sprint 1,53,56,105.7,40.6,2,2,0
SPT-0007,PRJ-1010,Sprint 1,47,49,104.3,45.7,1,1,0
SPT-0008,PRJ-1011,Sprint 1,58,57,98.3,48.2,3,2,1
SPT-0009,PRJ-1012,Sprint 1,45,40,88.9,41.9,1,0,1
SPT-0010,PRJ-1013,Sprint 1,57,57,100.0,55.4,1,1,0
SPT-0011,PRJ-1014,Sprint 1,47,41,87.2,22.2,7,5,2
SPT-0012,PRJ-1015,Sprint 1,50,49,98.0,48.4,3,2,1
SPT-0013,PRJ-1016,Sprint 1,53,50,94.3,40.5,4,3,1
SPT-0014,PRJ-1017,Sprint 1,59,54,91.5,37.8,1,1,0
SPT-0015,PRJ-1019,Sprint 1,61,63,103.3,41.8,1,1,0
SPT-0016,PRJ-1020,Sprint 1,40,42,105.0,43.0,4,4,0
SPT-0017,PRJ-1021,Sprint 1,48,42,87.5,16.6,9,7,2
SPT-0018,PRJ-1024,Sprint 1,63,62,98.4,30.8,2,1,1
SPT-0019,PRJ-1026,Sprint 1,46,45,97.8,38.7,1,0,1
SPT-0020,PRJ-1027,Sprint 1,55,49,89.1,21.4,4,1,3
SPT-0021,PRJ-1029,Sprint 1,55,55,100.0,41.4,3,3,0
SPT-0022,PRJ-1030,Sprint 1,42,34,81.0,18.4,9,7,2
SPT-0023,PRJ-1031,Sprint 1,57,55,96.5,33.3,1,1,0
SPT-0024,PRJ-1032,Sprint 1,37,34,91.9,45.3,2,1,1
SPT-0025,PRJ-1033,Sprint 1,57,50,87.7,21.4,4,1,3
SPT-0026,PRJ-1034,Sprint 1,57,51,89.5,21.1,7,5,2
SPT-0027,PRJ-1035,Sprint 1,42,34,81.0,22.4,4,1,3
SPT-0028,PRJ-1036,Sprint 1,60,58,96.7,54.3,1,1,0
SPT-0029,PRJ-1038,Sprint 1,63,62,98.4,40.2,2,1,1
SPT-0030,PRJ-1039,Sprint 1,59,53,89.8,15.6,9,5,4
SPT-0031,PRJ-1040,Sprint 1,39,35,89.7,37.1,1,1,0
SPT-0032,PRJ-1041,Sprint 1,58,56,96.6,44.6,2,1,1
SPT-0033,PRJ-1043,Sprint 1,49,47,95.9,34.2,1,1,0
SPT-0034,PRJ-1044,Sprint 1,38,29,76.3,16.3,9,6,3
SPT-0035,PRJ-1045,Sprint 1,46,38,82.6,16.2,6,4,2
SPT-0036,PRJ-1047,Sprint 1,42,42,100.0,36.9,3,3,0
SPT-0037,PRJ-1048,Sprint 1,52,54,103.8,47.9,3,3,0
SPT-0038,PRJ-1050,Sprint 1,44,39,88.6,47.2,3,3,0
SPT-0039,PRJ-1051,Sprint 1,51,49,96.1,37.6,4,3,1
SPT-0040,PRJ-1052,Sprint 1,60,54,90.0,11.4,7,4,3
SPT-0041,PRJ-1053,Sprint 1,38,37,97.4,45.1,2,2,0
SPT-0042,PRJ-1054,Sprint 1,37,28,75.7,22.4,4,1,3
SPT-0043,PRJ-1055,Sprint 1,64,64,100.0,36.0,2,1,1
SPT-0044,PRJ-1056,Sprint 1,53,54,101.9,48.4,3,3,0
SPT-0045,PRJ-1057,Sprint 1,65,61,93.8,43.0,1,1,0
SPT-0046,PRJ-1059,Sprint 1,41,36,87.8,21.4,4,1,3
SPT-0047,PRJ-1060,Sprint 1,51,50,98.0,41.3,4,3,1
SPT-0048,PRJ-1062,Sprint 1,37,34,91.9,33.1,3,3,0
SPT-0049,PRJ-1063,Sprint 1,51,49,96.1,46.3,2,1,1
SPT-0050,PRJ-1064,Sprint 1,55,51,92.7,44.9,3,2,1
SPT-0051,PRJ-1065,Sprint 1,62,60,96.8,44.3,1,1,0
SPT-0052,PRJ-1066,Sprint 1,48,44,91.7,41.6,4,4,0
SPT-0053,PRJ-1067,Sprint 1,58,52,89.7,22.2,4,2,2
SPT-0054,PRJ-1068,Sprint 1,57,56,98.2,46.6,3,3,0
SPT-0055,PRJ-1071,Sprint 1,50,43,86.0,19.2,8,4,4
SPT-0056,PRJ-1072,Sprint 1,60,64,106.7,33.8,3,3,0
SPT-0057,PRJ-1073,Sprint 1,46,40,87.0,22.8,9,6,3
SPT-0058,PRJ-1074,Sprint 1,58,54,93.1,39.0,1,0,1
SPT-0059,PRJ-1076,Sprint 1,43,45,104.7,46.4,1,1,0
SPT-0060,PRJ-1077,Sprint 1,53,48,90.6,20.4,7,4,3
SPT-0061,PRJ-1079,Sprint 1,51,51,100.0,36.8,1,0,1
SPT-0062,PRJ-1080,Sprint 1,40,33,82.5,19.5,5,2,3
SPT-0063,PRJ-1081,Sprint 1,59,55,93.2,49.1,1,1,0
SPT-0064,PRJ-1083,Sprint 1,35,30,85.7,21.7,4,2,2
SPT-0065,PRJ-1084,Sprint 1,36,28,77.8,21.0,6,3,3
SPT-0066,PRJ-1085,Sprint 1,64,61,95.3,40.1,2,2,0
SPT-0067,PRJ-1088,Sprint 1,64,65,101.6,38.8,2,1,1
SPT-0068,PRJ-1089,Sprint 1,64,67,104.7,39.7,2,2,0
SPT-0069,PRJ-1090,Sprint 1,37,28,75.7,14.4,6,4,2
SPT-0070,PRJ-1091,Sprint 1,51,46,90.2,20.1,5,3,2
SPT-0071,PRJ-1092,Sprint 1,60,55,91.7,45.6,4,4,0
SPT-0072,PRJ-1093,Sprint 1,62,61,98.4,32.7,3,2,1
SPT-0073,PRJ-1094,Sprint 1,49,44,89.8,20.5,6,4,2
