Meeting_ID,Project_ID,Meeting_Date,Meeting_Type,Attendees_Count,Key_Decisions_Logged,Open_Action_Items
MTG-10001,PRJ-1002,2026-04-26,Sprint Review & Demo,8,Walk provide skill five indicate chance heavy senior list.,2
MTG-10002,PRJ-1004,2026-06-07,Architecture Review Board,4,Tax certain leg arm include indicate morning home.,4
MTG-10003,PRJ-1006,2026-03-28,Financial Burn Review,7,Position two suggest begin right couple environmental purpose owner.,2
MTG-10004,PRJ-1007,2026-06-10,Sprint Review & Demo,5,Source onto provide describe decade trade field.,2
MTG-10005,PRJ-1008,2026-06-15,Financial Burn Review,12,View while bring yourself look drug page.,3
MTG-10006,PRJ-1009,2026-03-22,Financial Burn Review,11,Need simply herself move grow end mention market.,0
MTG-10007,PRJ-1010,2026-03-09,Security Audit Sync,7,Seven floor data fine animal ten scientist administration network once.,2
MTG-10008,PRJ-1011,2026-05-23,Architecture Review Board,7,Charge form here street material pressure range either.,0
MTG-10009,PRJ-1012,2026-06-04,Sprint Review & Demo,14,Leave run goal cause national contain threat wrong whatever model.,0
MTG-10010,PRJ-1013,2026-06-06,Risk & Mitigation Board,6,War property share include successful discuss.,1
MTG-10011,PRJ-1014,2026-05-21,Steering Committee Sync,4,Despite lay art point value.,6
MTG-10012,PRJ-1015,2026-06-15,Sprint Review & Demo,9,Administration mother in admit reveal movie expert maybe recently issue.,2
MTG-10013,PRJ-1016,2026-06-18,Architecture Review Board,10,Blood benefit chance court money spring environment.,0
MTG-10014,PRJ-1017,2026-04-14,Architecture Review Board,13,Where learn during recently feel stock ball yard practice.,1
MTG-10015,PRJ-1019,2026-03-01,Risk & Mitigation Board,5,Here need argue act commercial matter its six not.,0
MTG-10016,PRJ-1020,2026-06-08,Security Audit Sync,12,Thus try discover top realize note.,0
MTG-10017,PRJ-1021,2026-03-30,Steering Committee Sync,4,Range exactly myself probably conference sure.,2
MTG-10018,PRJ-1024,2026-02-27,Risk & Mitigation Board,5,Onto sell require huge baby class drive.,2
MTG-10019,PRJ-1026,2026-06-06,Sprint Review & Demo,11,Quality music himself science so ready bad seat generation.,0
MTG-10020,PRJ-1027,2026-03-09,Financial Burn Review,9,Stuff future shoulder western however similar ahead event.,5
MTG-10021,PRJ-1029,2026-06-25,Risk & Mitigation Board,14,Direction need heart control one herself sign far east available.,0
MTG-10022,PRJ-1030,2026-03-30,Architecture Review Board,5,Republican plant science first blood accept final growth especially.,2
MTG-10023,PRJ-1031,2026-03-13,Architecture Review Board,5,Issue news mention billion bed never others.,0
MTG-10024,PRJ-1032,2026-05-31,Steering Committee Sync,10,Activity including single right nice yeah drug minute rate.,2
MTG-10025,PRJ-1033,2026-03-18,Steering Committee Sync,7,Feeling manage as itself inside machine baby edge.,4
MTG-10026,PRJ-1034,2026-03-27,Sprint Review & Demo,13,Many pattern leader career according how success here television key issue statement.,4
MTG-10027,PRJ-1035,2026-05-15,Risk & Mitigation Board,10,Carry fly water cut fire who why fact reason make office drug.,1
MTG-10028,PRJ-1036,2026-04-12,Steering Committee Sync,13,Half usually customer young conference should agree road wall.,0
MTG-10029,PRJ-1038,2026-03-23,Risk & Mitigation Board,10,Story attorney summer some pull cause field education.,0
MTG-10030,PRJ-1039,2026-03-16,Architecture Review Board,11,Smile available wrong look husband media turn reality myself so.,2
MTG-10031,PRJ-1040,2026-04-10,Security Audit Sync,14,Order trial body eat professor coach partner none population position whom.,0
MTG-10032,PRJ-1041,2026-04-06,Architecture Review Board,7,Black better develop section newspaper reach determine hear leg quickly.,1
MTG-10033,PRJ-1043,2026-05-19,Architecture Review Board,4,General agency bit indeed which break wait.,0
MTG-10034,PRJ-1044,2026-03-15,Security Audit Sync,4,Gas six miss give best reveal laugh attack.,5
MTG-10035,PRJ-1045,2026-03-03,Architecture Review Board,5,Against gas body son upon scientist.,2
MTG-10036,PRJ-1047,2026-04-28,Risk & Mitigation Board,10,Civil nice when discussion if continue policy it ahead pass culture.,1
MTG-10037,PRJ-1048,2026-05-08,Steering Committee Sync,7,Above Democrat everything region somebody officer son Mr hand.,1
MTG-10038,PRJ-1050,2026-03-21,Architecture Review Board,6,Energy television month police others particularly.,2
MTG-10039,PRJ-1051,2026-05-07,Security Audit Sync,6,Goal leader common purpose song try opportunity public finish.,2
