Project_ID,Project_Name,Client,Department,Technology,Manager,Status,Risk,Budget,Actual_Cost,Progress,Sprint_Velocity,Team_Size,Open_Bugs,Remaining_Days,Team_Utilization,Start_Date,End_Date,Health_Score,Health_Category
PRJ-1001,Hyperion PyTorch Transformation,Hyperion Semiconductor Corp,AI & Automation,PyTorch & LLM Engine,Priya Patel (PMO Lead),Planned,Low,331400.0,0.0,0.0,37.5,5,0,199,0.0,2026-08-08,2026-10-28,73,Needs Attention
PRJ-1002,Pinnacle Predictive Transformation,Pinnacle Mutual Insurance,AI & Automation,Predictive Analytics Core,Sarah Jenkins (Director),Completed,Low,434200.0,430800.0,100.0,45.8,12,0,0,83.7,2025-12-09,2026-05-20,100,Excellent
PRJ-1003,Quantum React Transformation,Quantum Aerospace Dynamics,Digital Transformation,React Native Omni-App,Michelle Chang (Director),Planned,Low,1280100.0,0.0,0.0,39.3,16,0,168,0.0,2026-08-13,2027-02-09,74,Needs Attention
PRJ-1004,Horizon Apache Transformation,Horizon Retail Enterprises,Data Engineering,Apache Kafka Streaming,David Kim (Delivery VP),Delayed,High,587600.0,285100.0,32.1,19.2,5,20,-28,97.7,2026-04-22,2026-06-09,37,Critical
PRJ-1005,Global GenAI Transformation,Global Health Biosciences,AI & Automation,GenAI Enterprise Assistant,Jonathan Sterling (Practice Lead),Planned,Low,967200.0,0.0,0.0,36.1,9,0,77,0.0,2026-07-29,2026-10-28,73,Needs Attention
PRJ-1006,Sterling Computer Transformation,Sterling Telecom Corp,AI & Automation,Computer Vision Platform,Marcus Vance (Sr. Manager),Delayed,High,1276400.0,574300.0,27.5,14.0,10,20,-8,94.4,2026-01-25,2026-06-23,38,Critical
PRJ-1007,Prism Databricks Transformation,Prism Media International,Data Engineering,Databricks Lakehouse Core,Alexander Wright (VP Delivery),Completed,Low,1097900.0,1071000.0,100.0,39.7,6,0,0,85.4,2025-11-01,2026-05-19,100,Excellent
PRJ-1008,Apex Multi-Cloud Transformation,Apex Financial Group,Cloud Infrastructure,Multi-Cloud Terraform Mesh,David Kim (Delivery VP),Delayed,High,1196600.0,466800.0,27.0,22.5,10,27,-10,94.4,2026-03-22,2026-06-25,43,Critical
PRJ-1009,Oceana SAP Transformation,Oceana Global Shipping,Digital Transformation,SAP S/4HANA Core Modernization,Liam O'Connor (Principal Architect),Completed,Low,331500.0,327300.0,100.0,39.5,15,0,0,82.7,2025-12-01,2026-06-04,100,Excellent
PRJ-1010,Vanguard Salesforce Transformation,Vanguard Logistics International,Digital Transformation,Salesforce Enterprise Sync,Elena Rostova (Principal Lead),Active,Low,268200.0,210300.0,81.1,46.3,4,1,79,83.0,2026-05-08,2026-07-21,94,Excellent
PRJ-1011,Prism SAP Transformation,Prism Media International,Digital Transformation,SAP S/4HANA Core Modernization,Liam O'Connor (Principal Architect),Active,Medium,1412400.0,962600.0,70.8,45.5,4,4,123,83.4,2026-05-07,2026-10-23,88,Good
PRJ-1012,Pinnacle Agentic Transformation,Pinnacle Mutual Insurance,AI & Automation,Agentic AI Orchestrator,Elena Rostova (Principal Lead),Active,Low,1390000.0,656600.0,47.0,41.1,15,1,38,85.7,2026-03-10,2026-08-10,87,Good
PRJ-1013,Prism Airflow Transformation,Prism Media International,Data Engineering,Airflow Governance Sync,David Kim (Delivery VP),Completed,Low,1141300.0,1180600.0,100.0,53.4,12,0,0,85.3,2026-03-21,2026-05-25,100,Excellent
PRJ-1014,Apex dbt Transformation,Apex Financial Group,Data Engineering,dbt Analytics Mesh,Marcus Vance (Sr. Manager),Delayed,High,1292300.0,512100.0,28.8,23.4,16,27,-25,97.8,2026-01-09,2026-06-09,41,Critical
